,CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,DayDiff,DayDiff2,DayDiff3,DayDiffMean,DayDiffStd,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value
0,17706.0,0,3,126,1,3377.69,1,5,7.0,9.0,14.0,9.6,11.545561917897285,True,False,False
1,17068.0,10,3,49,1,611.84,0,4,25.0,37.0,38.0,12.666666666666666,12.013880860626733,False,False,True
2,16656.0,16,2,15,0,1812.96,1,3,4.0,6.0,27.0,8.0,8.755950357709132,False,False,True
3,17450.0,0,3,52,1,22685.46,3,7,8.0,14.0,34.0,12.0,6.324555320336759,True,False,False
4,18172.0,21,2,40,0,1601.66,1,3,6.0,13.0,27.0,9.0,4.358898943540674,False,False,True
5,12748.0,1,3,222,2,1242.33,1,6,5.0,6.0,13.0,3.6153846153846154,2.873396989002783,True,False,False
6,18109.0,10,3,56,1,1214.9299999999998,1,5,17.0,28.0,38.0,12.666666666666666,3.785938897200183,True,False,False
7,13050.0,0,3,67,1,1015.26,0,4,6.0,21.0,36.0,9.6,5.128352561983234,False,False,True
8,16422.0,0,3,49,1,4773.58,2,6,7.0,20.0,22.0,6.0,3.545621041711673,True,False,False
9,17841.0,3,3,1167,3,5978.38,2,8,3.0,5.0,9.0,2.75,0.9309493362512627,True,False,False
10,16818.0,6,3,46,0,909.23,0,3,20.0,30.0,41.0,13.666666666666666,5.507570547286102,False,False,True
11,12971.0,7,3,43,0,1984.97,1,4,3.0,7.0,19.0,4.444444444444445,3.320809807528546,False,False,True
12,15311.0,12,2,326,2,6311.68,2,6,1.0,4.0,9.0,3.5,1.7159383568311668,True,False,False
13,13013.0,7,3,39,0,688.61,0,3,16.0,27.0,40.0,13.333333333333334,2.516611478423583,False,False,True
14,13408.0,0,3,70,1,3037.06,1,5,5.0,6.0,9.0,5.222222222222222,3.2317865716108862,True,False,False
15,16904.0,8,3,204,2,962.43,0,5,13.0,22.0,39.0,13.0,4.0,True,False,False
16,16180.0,0,3,85,1,5890.2,2,6,20.0,27.0,28.0,11.25,8.80814017448254,True,False,False
17,16255.0,23,1,90,1,725.47,0,2,8.0,19.0,22.0,7.333333333333333,4.041451884327381,False,True,False
18,13468.0,7,3,28,0,441.27,0,3,14.0,27.0,34.0,9.5,4.795831523312719,False,False,True
19,17389.0,20,2,29,0,1998.48,1,3,1.0,8.0,10.0,4.166666666666667,3.65604522218567,False,False,True
20,16168.0,3,3,20,0,722.24,0,3,12.0,25.0,42.0,14.0,2.6457513110645907,False,False,True
21,14606.0,3,3,315,2,1336.56,1,6,2.0,9.0,13.0,4.666666666666667,1.7320508075688772,True,False,False
22,14397.0,9,3,13,0,420.78,0,3,18.0,29.0,35.0,11.666666666666666,6.027713773341708,False,False,True
23,16859.0,6,3,54,1,213.29999999999998,0,4,34.0,35.0,38.0,12.666666666666666,18.502252115170556,False,False,True
24,15125.0,12,2,30,0,1991.17,1,3,16.0,22.0,31.0,10.333333333333334,5.131601439446884,False,False,True
25,15152.0,13,2,94,1,1604.06,1,4,10.0,15.0,23.0,6.2,2.7748873851023217,False,False,True
26,16401.0,17,2,40,0,462.65,0,2,5.0,14.0,26.0,8.666666666666666,3.511884584284246,False,True,False
27,13089.0,0,3,224,2,5659.4800000000005,2,7,6.0,9.0,12.0,4.777777777777778,2.048034287907418,True,False,False
28,12921.0,28,1,73,1,1466.97,1,3,2.0,5.0,15.0,5.0,4.358898943540674,False,False,True
29,12901.0,0,3,21,0,2039.75,1,4,8.0,23.0,33.0,10.75,2.9860788111948198,False,False,True
30,13767.0,8,3,44,0,1238.47,1,4,13.0,15.0,19.0,7.0,4.301162633521313,False,False,True
31,15249.0,7,3,102,1,1674.01,1,5,12.0,20.0,36.0,12.0,4.0,True,False,False
32,13798.0,7,3,22,0,2359.22,1,4,16.0,22.0,36.0,12.0,5.291502622129181,False,False,True
33,15251.0,6,3,15,0,1190.37,1,4,7.0,21.0,36.0,12.0,4.358898943540674,False,False,True
34,16133.0,0,3,99,1,3772.2400000000002,1,5,1.0,7.0,8.0,3.230769230769231,2.27866357593825,True,False,False
35,14401.0,7,3,60,1,1166.8799999999999,1,5,5.0,21.0,35.0,11.666666666666666,5.859465277082315,True,False,False
36,16729.0,14,2,90,1,895.28,0,3,12.0,19.0,28.0,9.333333333333334,2.516611478423583,False,False,True
37,17675.0,0,3,210,2,4716.07,2,7,1.0,10.0,22.0,6.0,4.0824829046386295,True,False,False
38,17677.0,0,3,72,1,4306.71,2,6,27.0,34.0,36.0,8.4,10.66770828247567,True,False,False
39,17511.0,14,2,149,2,13823.7,3,7,9.0,13.0,28.0,9.333333333333334,5.507570547286102,True,False,False
40,14056.0,7,3,157,2,982.67,0,5,14.0,15.0,21.0,7.0,5.830951894845301,True,False,False
41,16013.0,9,3,24,0,3274.1,1,4,10.0,28.0,33.0,11.0,6.557438524302,False,False,True
42,15189.0,6,3,50,1,3950.55,1,5,7.0,17.0,22.0,5.833333333333333,2.9268868558020253,True,False,False
43,17811.0,12,2,41,0,364.8,0,2,8.0,15.0,29.0,9.666666666666666,3.7859388972001824,False,True,False
44,14527.0,1,3,111,1,866.43,0,4,6.0,15.0,21.0,5.714285714285714,2.3603873774083293,False,False,True
45,13098.0,13,2,88,1,3621.74,1,4,14.0,21.0,27.0,7.0,5.354126134736337,False,False,True
46,16607.0,7,3,40,0,536.48,0,3,21.0,22.0,34.0,11.333333333333334,10.016652800877813,False,False,True
47,14407.0,7,3,39,0,1138.1,1,4,1.0,8.0,26.0,8.5,7.047458170621991,False,False,True
48,13694.0,0,3,112,1,10835.9,2,6,7.0,13.0,22.0,8.2,3.5637059362410923,True,False,False
49,17961.0,23,1,37,0,206.92,0,1,4.0,17.0,18.0,6.0,6.244997998398398,False,True,False
50,17949.0,0,3,21,0,11081.06,2,5,5.0,9.0,14.0,6.833333333333333,3.2506409624359724,True,False,False
51,13078.0,0,3,61,1,1663.79,1,5,6.0,13.0,16.0,10.0,9.486832980505138,True,False,False
52,16839.0,9,3,39,0,1870.3899999999999,1,4,12.0,22.0,31.0,10.333333333333334,1.5275252316519465,False,False,True
53,15856.0,0,3,172,2,2072.84,1,6,3.0,15.0,40.0,13.333333333333334,11.060440015358038,True,False,False
54,14057.0,0,3,52,1,1652.85,1,5,9.0,15.0,38.0,12.666666666666666,9.073771725877465,True,False,False
55,14194.0,6,3,101,1,1667.01,1,5,1.0,8.0,28.0,7.75,8.539125638299666,True,False,False
56,17719.0,6,3,88,1,1803.29,1,5,2.0,7.0,9.0,6.2,4.764451699828638,True,False,False
57,16029.0,7,3,46,0,11542.42,2,5,6.0,7.0,19.0,5.8,4.494441010848846,True,False,False
58,14414.0,9,3,66,1,908.03,0,4,5.0,22.0,24.0,6.75,6.946221994724903,False,False,True
59,18241.0,6,3,39,0,702.95,0,3,3.0,6.0,9.0,4.142857142857143,2.2677868380553634,False,False,True
60,17315.0,0,3,115,1,1008.62,0,4,8.0,15.0,27.0,8.75,2.217355782608345,False,False,True
61,15078.0,5,3,85,1,1937.8400000000001,1,5,7.0,17.0,30.0,10.0,3.0,True,False,False
62,16672.0,12,2,15,0,1293.7,1,3,10.0,15.0,22.0,7.333333333333333,2.5166114784235836,False,False,True
63,13534.0,0,3,63,1,983.83,0,4,7.0,28.0,29.0,6.8,8.318653737234168,False,False,True
64,16184.0,5,3,19,0,534.66,0,3,4.0,7.0,28.0,9.333333333333334,10.115993936995679,False,False,True
65,15804.0,6,3,63,1,696.52,0,4,2.0,22.0,25.0,8.333333333333334,10.115993936995679,False,False,True
66,15625.0,0,3,20,0,575.54,0,3,3.0,28.0,30.0,10.0,13.0,False,False,True
67,17676.0,6,3,27,0,425.73,0,3,3.0,20.0,24.0,8.0,7.810249675906654,False,False,True
68,13709.0,0,3,91,1,1340.79,1,5,1.0,22.0,27.0,9.0,10.583005244258363,True,False,False
69,12931.0,0,3,62,1,21149.05,3,7,1.0,20.0,27.0,9.0,9.16515138991168,True,False,False
70,16928.0,1,3,43,0,626.99,0,3,12.0,19.0,25.0,8.333333333333334,3.214550253664318,False,False,True
